ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-03T01:00:00Z,2025-08-03,01:00,1,133.66,0.0,2.61,42.72,0.19,2.31,3.49,2.91
Paris,PAR,FR,48.8566,2.3522,2025-08-03T02:00:00Z,2025-08-03,02:00,1,131.95,0.0,2.56,35.41,0.12,2.45,3.71,2.23
Paris,PAR,FR,48.8566,2.3522,2025-08-03T03:00:00Z,2025-08-03,03:00,1,129.67,0.0,2.51,30.17,0.09,2.59,3.89,2.07
Paris,PAR,FR,48.8566,2.3522,2025-08-03T04:00:00Z,2025-08-03,04:00,1,125.76,0.0,2.54,26.2,0.08,2.69,4.01,2.1
Paris,PAR,FR,48.8566,2.3522,2025-08-03T05:00:00Z,2025-08-03,05:00,1,124.39,0.01,3.1,23.08,0.08,2.85,4.19,1.91
Paris,PAR,FR,48.8566,2.3522,2025-08-03T06:00:00Z,2025-08-03,06:00,1,124.04,0.35,3.81,21.42,0.1,3.05,4.42,1.8
Paris,PAR,FR,48.8566,2.3522,2025-08-03T07:00:00Z,2025-08-03,07:00,1,124.2,1.07,3.2,27.82,0.25,3.26,4.69,1.95
Paris,PAR,FR,48.8566,2.3522,2025-08-03T08:00:00Z,2025-08-03,08:00,1,122.29,1.57,2.74,30.73,0.31,3.4,4.84,2.45
Paris,PAR,FR,48.8566,2.3522,2025-08-03T09:00:00Z,2025-08-03,09:00,1,120.4,1.59,2.51,35.19,0.33,3.72,5.15,3.22
Paris,PAR,FR,48.8566,2.3522,2025-08-03T10:00:00Z,2025-08-03,10:00,2,125.31,0.28,1.02,76.69,0.67,3.74,5.19,2.55
Paris,PAR,FR,48.8566,2.3522,2025-08-03T11:00:00Z,2025-08-03,11:00,2,122.73,0.13,0.57,85.38,0.64,3.67,4.8,2.18
Paris,PAR,FR,48.8566,2.3522,2025-08-03T12:00:00Z,2025-08-03,12:00,2,120.16,0.1,0.49,88.24,0.63,3.67,4.61,2.1
Paris,PAR,FR,48.8566,2.3522,2025-08-03T13:00:00Z,2025-08-03,13:00,2,119.91,0.09,0.46,90.82,0.61,3.5,4.3,2.03
Paris,PAR,FR,48.8566,2.3522,2025-08-03T14:00:00Z,2025-08-03,14:00,2,120.62,0.09,0.45,91.46,0.56,3.16,3.84,1.95
Paris,PAR,FR,48.8566,2.3522,2025-08-03T15:00:00Z,2025-08-03,15:00,2,122.3,0.1,0.48,91.32,0.52,2.88,3.52,1.94
Paris,PAR,FR,48.8566,2.3522,2025-08-03T16:00:00Z,2025-08-03,16:00,2,125.56,0.1,0.56,91.39,0.48,2.69,3.32,2.06
Paris,PAR,FR,48.8566,2.3522,2025-08-03T17:00:00Z,2025-08-03,17:00,2,128.26,0.08,0.67,89.96,0.44,2.54,3.21,2.29
Paris,PAR,FR,48.8566,2.3522,2025-08-03T18:00:00Z,2025-08-03,18:00,2,130.44,0.05,0.79,87.86,0.42,2.43,3.19,2.57
Paris,PAR,FR,48.8566,2.3522,2025-08-03T19:00:00Z,2025-08-03,19:00,2,132.13,0.01,1.13,81.92,0.37,2.42,3.28,3.25
Paris,PAR,FR,48.8566,2.3522,2025-08-03T20:00:00Z,2025-08-03,20:00,2,132.98,0.0,1.55,73.1,0.32,2.45,3.4,4.18
Paris,PAR,FR,48.8566,2.3522,2025-08-03T21:00:00Z,2025-08-03,21:00,2,132.93,0.0,1.9,65.52,0.27,2.47,3.49,5.03
Paris,PAR,FR,48.8566,2.3522,2025-08-03T22:00:00Z,2025-08-03,22:00,1,131.07,0.0,2.12,58.22,0.22,2.47,3.5,5.74
Paris,PAR,FR,48.8566,2.3522,2025-08-03T23:00:00Z,2025-08-03,23:00,1,130.36,0.0,2.17,53.16,0.17,2.52,3.56,6.15
Paris,PAR,FR,48.8566,2.3522,2025-08-04T00:00:00Z,2025-08-04,00:00,1,130.2,0.0,2.06,49.75,0.14,2.57,3.65,5.76
Paris,PAR,FR,48.8566,2.3522,2025-08-04T01:00:00Z,2025-08-04,01:00,1,129.22,0.0,1.97,44.54,0.1,2.62,3.74,4.88
Paris,PAR,FR,48.8566,2.3522,2025-08-04T02:00:00Z,2025-08-04,02:00,1,127.44,0.0,1.96,37.44,0.07,2.67,3.85,3.73
Paris,PAR,FR,48.8566,2.3522,2025-08-04T03:00:00Z,2025-08-04,03:00,1,125.55,0.0,2.01,31.39,0.06,2.73,3.96,3.25
Paris,PAR,FR,48.8566,2.3522,2025-08-04T04:00:00Z,2025-08-04,04:00,1,122.4,0.0,2.21,26.25,0.05,2.75,4.03,3.2
Paris,PAR,FR,48.8566,2.3522,2025-08-04T05:00:00Z,2025-08-04,05:00,1,121.56,0.01,3.09,21.98,0.07,2.81,4.16,2.69
Paris,PAR,FR,48.8566,2.3522,2025-08-04T06:00:00Z,2025-08-04,06:00,1,121.72,0.27,4.41,19.46,0.08,2.91,4.32,2.3
Paris,PAR,FR,48.8566,2.3522,2025-08-04T07:00:00Z,2025-08-04,07:00,1,120.87,1.19,3.92,21.52,0.1,2.94,4.41,2.26
Paris,PAR,FR,48.8566,2.3522,2025-08-04T08:00:00Z,2025-08-04,08:00,1,119.38,1.87,3.21,23.55,0.11,2.96,4.49,2.93
Paris,PAR,FR,48.8566,2.3522,2025-08-04T09:00:00Z,2025-08-04,09:00,1,117.54,1.91,2.82,29.19,0.11,3.06,4.65,3.77
Paris,PAR,FR,48.8566,2.3522,2025-08-04T10:00:00Z,2025-08-04,10:00,1,111.81,0.33,0.96,57.52,0.12,2.17,3.49,2.8
Paris,PAR,FR,48.8566,2.3522,2025-08-04T11:00:00Z,2025-08-04,11:00,2,107.92,0.17,0.56,61.4,0.1,2.02,3.15,2.43
